,position,birth_country,weight,birth_state,name_display_first_last,college,height_inches,name_display_roster,sport_code,bats,name_first,team_code,birth_city,height_feet,pro_debut_date,team_full,team_abbrev,birth_date,throws,league,name_display_last_first,position_id,high_school,name_use,player_id,name_last,team_id,service_years,active_sw
119,P,USA,242,TX,Noah Syndergaard,,6,Syndergaard,mlb,L,Noah,nyn,Mansfield,6,2015-05-12T00:00:00,New York Mets,NYM,1992-08-29T00:00:00,R,NL,"Syndergaard, Noah",1,"Legacy, Mansfield, TX",Noah,592789,Syndergaard,121,,Y
120,P,Colombia,205,,Julio Teheran,,2,Teheran,mlb,R,Julio,det,Cartagena,6,2011-05-07T00:00:00,Detroit Tigers,DET,1991-01-27T00:00:00,R,AL,"Teheran, Julio",1,,Julio,527054,Teheran,116,,Y
121,P,USA,200,FL,Zack Greinke,,2,Greinke,mlb,R,Zack,hou,Orlando,6,2004-05-22T00:00:00,Houston Astros,HOU,1983-10-21T00:00:00,R,AL,"Greinke, Zack",1,"Apopka, FL",Zack,425844,Greinke,117,,Y
122,P,USA,205,OK,Dallas Keuchel,Arkansas,2,Keuchel,mlb,L,Dallas,cha,Tulsa,6,2012-06-17T00:00:00,Chicago White Sox,CWS,1988-01-01T00:00:00,L,AL,"Keuchel, Dallas",1,"Bishop Kelley, Tulsa, OK",Dallas,572971,Keuchel,145,,Y
123,P,Cuba,218,,Aroldis Chapman,,4,"Chapman, A",mlb,L,Aroldis,nya,Holguin,6,2010-08-31T00:00:00,New York Yankees,NYY,1988-02-28T00:00:00,L,AL,"Chapman, Aroldis",1,,Aroldis,547973,Chapman,147,,Y
124,P,USA,220,CA,Gerrit Cole,UCLA,4,"Cole, G",mlb,R,Gerrit,nya,Newport Beach,6,2013-06-11T00:00:00,New York Yankees,NYY,1990-09-08T00:00:00,R,AL,"Cole, Gerrit",1,"Orange Lutheran, Orange, CA",Gerrit,543037,Cole,147,,Y
125,P,USA,180,FL,Jacob deGrom,Stetson,4,deGrom,mlb,L,Jacob,nyn,DeLand,6,2014-05-15T00:00:00,New York Mets,NYM,1988-06-19T00:00:00,R,NL,"deGrom, Jacob",1,"Cavalry Christian Academy, Ormond Beach, FL",Jacob,594798,deGrom,121,,Y
126,P,USA,225,TX,Clayton Kershaw,,4,Kershaw,mlb,L,Clayton,lan,Dallas,6,2008-05-25T00:00:00,Los Angeles Dodgers,LAD,1988-03-19T00:00:00,L,NL,"Kershaw, Clayton",1,"Highland Park, Dallas, TX",Clayton,477132,Kershaw,119,,Y
127,P,Dominican Republic,200,,Carlos Martinez,,0,Martinez,mlb,R,Carlos,sln,Puerto Plata,6,2013-05-03T00:00:00,St. Louis Cardinals,STL,1991-09-21T00:00:00,R,NL,"Martinez, Carlos",1,,Carlos,593372,Martinez,138,,Y
128,P,USA,215,CO,Mark Melancon,Arizona,1,Melancon,mlb,R,Mark,sdn,Wheat Ridge,6,2009-04-26T00:00:00,San Diego Padres,SD,1985-03-28T00:00:00,R,NL,"Melancon, Mark",1,"Golden, CO",Mark,453343,Melancon,135,,Y
